"modelable_entity_id","cause_id","rei_id","n_code","sequela_id","healthstate_id"
17574,716,278,"N35",-41,-41
17575,716,279,"N36",-42,-42
17576,716,280,"N37",-43,-43
17577,716,281,"N38",-44,-44
17578,716,282,"N39",-45,-45
17579,716,283,"N4",-4,-4
17580,716,284,"N40",-46,-46
17581,716,285,"N41",-47,-47
17582,716,286,"N42",-48,-48
17583,716,287,"N43",-49,-49
17584,716,288,"N44",-50,-50
17585,716,289,"N45",-51,-51
17586,716,290,"N46",-52,-52
17587,716,291,"N47",-53,-53
17588,716,292,"N48",-54,-54
17589,716,293,"N5",-5,-5
17590,716,294,"N6",-6,-6
17591,716,295,"N7",-7,-7
17592,716,296,"N8",-8,-8
17593,716,297,"N9",-9,-9
17594,701,250,"N1",-1,-1
17595,701,251,"N10",-10,-10
17596,701,252,"N11",-11,-11
17597,701,253,"N12",-12,-12
17598,701,254,"N13",-13,-13
17599,701,255,"N14",-14,-14
17600,701,256,"N15",-15,-15
17601,701,257,"N16",-16,-16
17602,701,258,"N17",-17,-17
17603,701,259,"N18",-18,-18
17604,701,260,"N19",-19,-19
